Age,DailyRate,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
37,1115,1,1,4,77,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0
32,427,1,1,3,78,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0
38,653,1,29,5,79,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0
50,989,1,7,2,80,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0
59,1435,0,25,3,81,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0
36,1223,1,8,3,83,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0
55,836,1,8,3,84,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0
36,1195,1,11,3,85,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0
45,1339,1,7,3,86,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0
35,664,1,1,3,88,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0
36,318,1,9,3,90,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1
59,1225,0,1,1,91,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0
29,1328,1,2,3,94,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0
31,1082,1,1,4,95,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0
32,548,1,1,3,96,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0
36,132,1,6,3,97,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0
31,746,1,8,4,98,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0
35,776,0,1,4,100,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0
45,193,1,6,4,101,4,1,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0
37,397,1,7,4,102,1,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0
46,945,2,5,2,103,2,1,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0
30,852,1,1,1,104,4,1,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0
35,1214,1,1,3,105,2,1,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0
55,111,0,1,2,106,1,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0
38,573,1,6,3,107,2,0,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0
34,1153,1,1,2,110,1,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0
56,1400,1,7,3,112,4,1,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0
23,541,0,2,1,113,3,1,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0
51,432,1,9,4,116,4,1,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0
30,288,1,2,3,117,3,1,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0
46,669,0,9,2,118,3,1,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1
40,530,1,1,4,119,3,1,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0
51,632,0,21,4,120,3,1,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0
30,1334,0,4,2,121,3,0,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0
46,638,1,1,3,124,3,1,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0
32,1093,0,6,4,125,2,1,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0
54,1217,1,2,4,126,1,0,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0
24,1353,0,3,2,128,1,0,33,3,2,3,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0
28,120,0,4,3,129,2,1,43,3,2,3,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0
58,682,0,10,4,131,4,1,37,3,4,3,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0
44,489,1,23,3,132,2,1,67,3,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,0
37,807,2,6,4,133,3,1,63,3,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,1
32,827,1,1,1,134,4,1,71,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0
20,871,1,6,3,137,4,0,66,2,1,4,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1
34,665,1,6,4,138,1,0,41,3,2,3,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0
37,1040,1,2,2,139,3,1,100,2,2,4,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0
59,1420,2,2,4,140,3,0,32,2,5,4,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,0
50,1115,1,1,3,141,1,0,73,3,5,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0
25,240,0,5,3,142,3,1,46,2,2,3,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,1
25,1280,1,7,1,143,4,1,64,2,1,4,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0
22,534,1,15,3,144,2,0,59,3,1,4,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0
51,1456,1,1,4,145,1,0,30,2,3,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0
34,658,1,7,3,147,1,1,66,1,2,3,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1
54,142,2,26,3,148,4,0,30,4,4,4,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0
24,1127,1,18,1,150,2,1,52,3,1,3,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0
34,1031,1,6,4,151,3,0,45,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0
37,1189,0,3,3,152,3,1,87,3,3,4,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0
34,1354,1,5,3,153,3,0,45,2,3,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0
36,1467,0,11,2,154,2,0,92,3,3,4,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0
36,922,1,3,2,155,1,0,39,3,1,4,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,0
43,394,0,26,2,158,3,1,92,3,4,4,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0
30,1312,1,23,3,159,1,1,96,1,1,3,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,0
33,750,0,22,2,160,3,1,95,3,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,0
56,441,1,14,4,161,2,0,72,3,1,2,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,1
51,684,1,6,3,162,1,1,51,3,5,3,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0
31,249,0,6,4,163,2,1,76,1,2,3,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,1
26,841,1,6,3,164,3,0,46,2,1,2,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,0
58,147,1,23,4,165,4,0,94,3,3,4,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,1
19,528,0,22,1,167,4,1,50,3,1,3,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,1
22,594,1,2,1,169,3,1,100,3,1,4,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0
49,470,1,20,4,170,3,0,96,3,2,1,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,0
43,957,1,28,3,171,2,0,72,4,1,3,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,0
50,809,0,12,3,174,3,0,77,3,3,4,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,0
31,542,0,20,3,175,2,0,71,1,2,3,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1
41,802,0,9,1,176,3,1,96,3,3,3,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,0
26,1355,2,25,1,177,3,0,61,3,1,3,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,0
36,216,1,6,2,178,2,1,84,3,2,2,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0
51,1150,1,8,4,179,1,1,53,1,3,4,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,1
39,1329,0,4,4,182,4,0,47,2,2,3,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0
25,959,0,28,3,183,1,1,41,2,2,3,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,0
30,1240,2,9,3,184,3,1,48,3,2,4,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,0
32,1033,1,9,3,190,1,0,41,3,1,1,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,1
45,1316,1,29,3,192,3,1,83,3,1,4,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,0
38,364,1,3,5,193,4,0,32,3,2,3,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,0
30,438,1,18,3,194,1,0,75,3,1,3,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,0
32,689,0,9,2,195,4,1,35,1,2,4,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,0
30,201,1,5,3,197,4,0,84,3,1,1,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,0
30,1427,1,2,1,198,2,1,35,2,1,4,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,0
41,857,1,10,3,199,4,1,91,2,4,1,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0
41,933,1,9,4,200,3,1,94,3,1,1,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0
19,1181,1,3,1,201,2,0,79,3,1,2,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,0
40,1395,1,26,3,202,2,0,54,3,2,2,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,0
35,662,0,1,5,204,3,1,94,3,3,2,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,0
53,1436,0,6,2,205,2,1,34,3,2,3,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,0
45,194,1,9,3,206,2,1,60,3,2,2,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0
32,967,0,8,3,207,2,0,43,3,3,4,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,0
29,1496,1,1,1,208,4,1,41,3,2,3,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,0
51,1169,1,7,4,211,2,1,34,2,2,3,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0
58,1145,1,9,3,214,2,0,75,2,1,2,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,0
40,630,0,4,4,215,3,1,67,2,3,4,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0
34,303,0,2,4,216,3,0,75,3,1,3,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,0
22,1256,1,19,1,217,3,1,80,3,1,4,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0
27,691,1,9,3,218,4,1,57,3,1,2,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,0
28,440,1,21,3,221,3,1,42,3,1,4,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,0
57,334,1,24,2,223,3,1,83,4,3,4,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,0
27,1450,1,3,3,224,3,1,79,2,1,3,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,0
50,1452,1,11,3,226,3,0,53,3,5,2,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4,0
41,465,1,14,3,227,1,1,56,3,1,3,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,0
30,1339,0,5,3,228,2,0,41,3,3,4,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0
38,702,0,1,4,230,1,0,59,2,2,4,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,0
32,120,1,6,5,231,3,1,43,3,1,3,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0
27,1157,1,17,3,233,3,1,51,3,1,2,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,0
19,602,0,1,1,235,3,0,100,1,1,1,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0,1
36,1480,1,3,2,238,4,1,30,3,1,2,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,0
30,111,1,9,3,239,3,1,66,3,2,1,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,0
45,1268,0,4,2,240,3,0,30,3,2,1,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,0
56,713,1,8,3,241,3,0,67,3,1,1,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,0
33,134,1,2,3,242,3,1,90,3,1,4,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,0
19,303,1,2,3,243,2,1,47,2,1,4,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,1
46,526,0,1,2,244,2,0,92,3,3,1,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0
38,1380,1,9,2,245,3,0,75,3,1,4,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0
31,140,1,12,1,246,3,0,95,3,1,4,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0
34,629,1,27,2,247,4,0,95,3,1,2,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,0
41,1356,0,20,2,248,2,0,70,3,1,2,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,1
50,328,1,1,3,249,3,1,86,2,1,3,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0
53,1084,1,13,2,250,4,0,57,4,2,1,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,0
33,931,1,14,3,252,4,0,72,3,1,2,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,0
40,989,1,4,1,253,4,0,46,3,5,3,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9,0
55,692,1,14,4,254,3,1,61,4,5,2,18722,13339,8,0,11,3,4,0,36,3,3,24,15,2,15,0
34,1069,1,2,1,256,4,1,45,2,2,3,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,0
51,313,1,3,3,258,4,0,98,3,4,2,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0
52,699,1,1,4,259,3,1,65,2,5,3,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0
27,894,1,9,3,260,4,0,99,3,1,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0
35,556,1,23,2,261,2,1,50,2,2,3,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,1
43,1344,1,7,3,262,4,1,37,4,1,4,2089,5228,4,0,14,3,4,3,7,3,4,5,4,2,2,0
45,1195,1,2,2,264,1,1,65,2,4,4,16792,20462,9,0,23,4,4,1,22,1,3,20,8,11,8,0
37,290,1,21,3,267,2,1,65,4,1,1,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,0
35,138,1,2,3,269,2,0,37,3,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0
42,926,1,21,2,270,3,0,36,3,2,3,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,0
38,1261,1,2,4,271,4,1,88,3,2,3,6553,7259,9,0,14,3,2,0,14,3,3,1,0,0,0,0
38,1084,1,29,3,273,4,1,54,3,2,4,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,0
27,472,1,1,1,274,3,1,60,2,2,1,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,0
49,1002,1,18,4,275,4,1,92,3,2,4,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,0
34,878,1,10,4,277,4,1,43,3,1,3,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,0
40,905,1,19,2,281,3,1,99,3,2,4,2741,16523,8,1,15,3,3,1,15,2,4,7,2,3,7,0
38,1180,1,29,1,282,2,1,70,3,2,1,6673,11354,7,1,19,3,2,0,17,2,3,1,0,0,0,1
29,121,0,27,3,283,2,0,35,3,3,4,7639,24525,1,0,22,4,4,3,10,3,2,10,4,1,9,1
22,1136,1,5,3,284,4,1,60,4,1,2,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,0
36,635,1,18,1,286,2,0,73,3,1,4,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,0
40,1151,1,9,5,287,4,1,63,2,2,4,4876,14242,9,0,14,3,4,1,5,5,1,3,2,0,2,0
46,644,1,1,4,288,4,1,97,3,3,1,9396,12368,7,0,16,3,3,1,17,3,3,4,2,0,3,0
32,1045,0,4,4,291,4,1,32,1,3,4,10400,25812,1,0,11,3,3,0,14,2,2,14,8,9,8,1
30,829,1,1,1,292,3,1,88,2,3,3,8474,20925,1,0,22,4,3,0,12,2,3,11,8,5,8,0
27,1242,0,20,3,293,4,0,90,3,2,3,9981,12916,1,0,14,3,4,0,7,2,3,7,7,0,7,0
51,1469,1,8,4,296,2,1,81,2,3,2,12490,15736,5,0,16,3,4,2,16,5,1,10,9,4,7,0
30,1005,1,3,3,297,4,0,88,3,1,1,2657,8556,5,1,11,3,3,0,8,5,3,5,2,0,4,1
41,896,0,6,3,298,4,0,75,3,3,4,13591,14674,3,1,18,3,3,0,16,3,3,1,0,0,0,0
30,334,0,26,4,299,3,0,52,2,2,1,6696,22967,5,0,15,3,3,0,9,5,2,6,3,0,1,1
29,992,1,1,3,300,3,1,85,3,1,3,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,1
45,1052,0,6,3,302,4,0,57,2,3,4,8865,16840,6,0,12,3,4,0,23,2,3,19,7,12,8,0
54,1147,0,3,3,303,4,0,52,3,2,1,5940,17011,2,0,14,3,4,1,16,4,3,6,2,0,5,0
36,1396,1,5,2,304,4,1,62,3,2,2,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,0
33,147,1,4,4,305,3,0,47,2,1,2,2622,13248,6,0,21,4,4,0,7,3,3,3,2,1,1,0
37,663,1,11,3,306,2,1,47,3,3,4,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,0
38,119,0,3,3,307,1,1,76,3,3,3,10609,9647,0,0,12,3,3,2,17,6,2,16,10,5,13,0
31,979,1,1,4,308,3,1,90,1,2,3,4345,4381,0,0,12,3,4,1,6,2,3,5,4,1,4,0
59,142,1,3,3,309,3,1,70,2,1,4,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,0
37,319,0,4,4,311,1,1,41,3,1,4,2793,2539,4,0,17,3,3,1,13,2,3,9,8,5,8,0
29,1413,0,1,1,312,2,0,42,3,3,4,7918,6599,1,0,14,3,4,1,11,5,3,11,10,4,1,0
35,944,0,1,3,314,3,0,92,3,3,3,8789,9096,1,0,14,3,1,0,10,3,4,10,7,0,8,0
29,896,1,18,1,315,3,1,86,2,1,4,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,1
52,1323,1,2,3,316,3,0,89,2,1,4,3212,3300,7,0,15,3,2,0,6,3,2,2,2,2,2,0
